Attrition,Gender,Age,MaritalStatus,EducationField,Level of Education,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,JobLevel,OverTime,PercentSalaryHike,PerformanceRating,BusinessTravel,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance
No,Male,25,Married,Medical,1,2889,7,1,1,No,11,3,Travel_Rarely,2,2,2,2,1,4,2,4,3,3
No,Female,22,Single,Medical,3,2871,15,1,1,No,15,3,Travel_Rarely,0,0,0,0,0,2,3,4,3,3
No,Female,51,Single,Medical,4,7484,1,3,3,No,20,4,Travel_Frequently,0,13,12,12,8,1,2,1,3,2
Yes,Male,34,Single,Life Sciences,3,6074,7,1,2,Yes,24,4,Travel_Frequently,0,9,7,0,6,1,1,3,4,3
No,Female,54,Single,Human Resources,3,17328,26,2,4,Yes,12,3,Non-Travel,0,5,3,4,4,4,4,4,3,3
No,Male,24,Married,Life Sciences,1,2774,18,0,1,No,12,3,Travel_Rarely,1,5,3,1,2,2,3,3,3,3
No,Female,34,Divorced,Life Sciences,4,4505,6,6,2,No,15,3,Travel_Rarely,1,1,0,0,0,3,2,2,3,3
No,Male,37,Single,Life Sciences,3,7428,3,2,3,No,12,3,Travel_Rarely,0,5,3,1,3,3,3,4,1,3
No,Female,34,Single,Medical,3,11631,5,2,3,No,12,3,Travel_Rarely,0,11,10,5,8,3,2,1,4,3
No,Female,36,Married,Technical Degree,2,9738,11,0,3,No,14,3,Travel_Frequently,1,9,7,2,8,2,3,4,3,3
No,Female,36,Divorced,Life Sciences,2,2835,3,5,1,No,22,4,Travel_Rarely,1,1,0,0,0,1,3,4,1,3
No,Male,43,Married,Life Sciences,2,16959,26,1,4,Yes,12,3,Travel_Frequently,2,25,12,4,12,3,3,4,4,4
No,Male,30,Divorced,Life Sciences,3,2613,23,1,1,No,25,4,Travel_Frequently,3,10,7,0,9,1,1,3,3,2
No,Male,33,Married,Marketing,2,6146,22,0,2,No,13,3,Non-Travel,1,7,7,0,7,3,3,2,1,4
Yes,Female,56,Married,Life Sciences,4,4963,14,9,1,Yes,18,3,Travel_Rarely,3,5,4,4,3,2,3,2,1,3
No,Male,51,Single,Life Sciences,3,19537,6,7,5,No,13,3,Travel_Rarely,0,20,18,15,15,1,3,3,3,3
Yes,Male,31,Married,Life Sciences,4,6172,6,4,2,Yes,18,3,Travel_Rarely,0,7,7,7,7,2,1,3,2,2
No,Female,26,Married,Other,3,2368,6,1,1,No,19,3,Travel_Rarely,0,5,4,4,3,3,2,2,3,2
Yes,Female,58,Married,Medical,4,10312,23,1,3,No,12,3,Travel_Rarely,1,40,10,15,6,4,3,4,4,2
Yes,Male,19,Single,Marketing,1,1675,22,1,1,Yes,19,3,Travel_Rarely,0,0,0,0,0,4,3,3,4,2
No,Male,22,Married,Technical Degree,1,2523,2,0,1,No,14,3,Travel_Rarely,1,2,1,2,1,3,3,4,3,3
No,Female,49,Married,Medical,4,6567,20,1,2,No,14,3,Travel_Rarely,0,15,11,5,11,3,3,1,3,2
No,Female,43,Single,Medical,3,4739,28,4,1,No,12,3,Travel_Frequently,0,3,2,1,2,2,4,3,4,3
No,Female,50,Single,Marketing,3,9208,12,4,3,No,11,3,Travel_Frequently,0,2,2,2,1,3,3,4,4,3
Yes,Female,31,Married,Life Sciences,3,4559,20,3,2,Yes,11,3,Travel_Rarely,1,2,2,2,2,2,1,3,3,3
No,Male,41,Divorced,Life Sciences,1,8189,9,3,3,Yes,13,3,Travel_Rarely,1,9,7,0,7,3,3,3,3,3
No,Female,26,Married,Life Sciences,1,2942,25,1,1,No,23,4,Travel_Rarely,1,8,7,5,7,3,3,3,4,3
No,Male,36,Divorced,Medical,2,4941,6,6,2,No,20,4,Travel_Rarely,2,3,2,0,1,2,3,2,4,3
Yes,Male,51,Single,Life Sciences,4,10650,8,2,3,No,15,3,Travel_Frequently,0,4,2,0,3,1,1,4,4,3
No,Female,39,Married,Life Sciences,4,5902,4,4,2,No,14,3,Travel_Rarely,1,15,11,5,9,4,2,3,3,4
No,Male,25,Married,Life Sciences,3,8639,28,2,2,No,18,3,Travel_Rarely,0,2,2,2,2,1,2,3,4,3
No,Male,30,Married,Human Resources,3,6347,9,0,2,Yes,19,3,Travel_Rarely,0,11,9,4,7,3,3,4,4,1
Yes,Female,32,Single,Medical,3,4200,9,7,1,No,22,4,Travel_Rarely,0,5,4,0,4,1,3,1,1,4
No,Male,45,Single,Medical,3,3452,29,5,1,No,13,3,Travel_Rarely,0,6,5,0,3,3,3,4,2,2
No,Female,38,Single,Technical Degree,5,4317,3,3,2,Yes,20,4,Travel_Rarely,0,3,2,2,2,4,3,3,2,3
No,Female,30,Single,Life Sciences,3,2632,18,1,1,No,14,3,Travel_Rarely,0,5,4,0,4,1,3,3,3,2
No,Male,32,Divorced,Medical,2,4668,9,0,2,No,17,3,Travel_Frequently,3,8,7,0,7,4,1,4,4,4
No,Female,30,Divorced,Technical Degree,3,3204,5,5,1,No,14,3,Travel_Rarely,1,3,2,2,2,4,3,1,4,3
No,Male,30,Single,Medical,1,2720,2,0,1,No,13,3,Travel_Rarely,0,5,3,1,2,2,2,4,4,3
No,Male,41,Divorced,Life Sciences,3,17181,10,4,4,No,13,3,Travel_Frequently,1,7,6,7,7,4,2,1,2,2
No,Male,41,Married,Life Sciences,4,2238,9,2,1,No,21,4,Travel_Rarely,1,5,0,1,4,3,3,1,4,3
No,Female,19,Single,Medical,1,1483,3,1,1,No,14,3,Travel_Rarely,0,1,0,0,0,2,3,2,4,3
No,Female,40,Divorced,Medical,3,5605,26,1,2,No,11,3,Travel_Frequently,1,20,7,2,13,2,3,2,1,3
No,Male,35,Married,Marketing,5,7295,1,1,3,No,13,3,Travel_Rarely,2,10,8,0,6,3,3,2,1,3
No,Male,53,Married,Marketing,2,2306,6,2,2,Yes,20,4,Travel_Rarely,1,7,7,4,5,2,3,3,4,1
No,Male,45,Divorced,Life Sciences,3,2348,9,8,2,No,18,3,Travel_Rarely,1,17,9,0,15,2,3,2,3,1
No,Female,32,Single,Marketing,3,8998,8,1,3,No,14,3,Travel_Frequently,0,9,8,3,7,2,3,4,4,3
No,Male,29,Married,Technical Degree,1,4319,1,1,2,No,13,3,Non-Travel,1,10,7,0,9,4,3,3,1,3
No,Male,51,Married,Medical,4,6132,7,2,2,No,17,3,Travel_Rarely,0,1,0,0,0,2,2,3,3,3
No,Female,58,Married,Medical,3,3346,9,4,1,Yes,20,4,Travel_Rarely,1,1,0,0,0,2,2,2,2,2
No,Male,40,Married,Marketing,4,10855,4,7,3,No,11,3,Travel_Rarely,1,12,11,2,11,3,2,4,1,2
No,Female,34,Married,Marketing,4,2231,2,6,1,No,18,3,Travel_Frequently,1,4,3,1,2,3,3,3,4,3
No,Male,22,Married,Medical,1,2323,19,1,1,No,24,4,Travel_Rarely,2,2,2,2,2,3,3,4,1,3
No,Male,27,Divorced,Medical,3,2024,9,6,1,No,18,3,Non-Travel,1,2,2,2,2,4,3,2,4,1
No,Male,28,Married,Medical,3,2713,21,1,1,No,11,3,Travel_Rarely,1,5,2,0,2,3,3,4,3,1
No,Male,57,Divorced,Life Sciences,2,9439,24,3,3,Yes,16,3,Travel_Rarely,1,5,3,1,4,3,4,4,2,1
No,Male,27,Divorced,Medical,3,2566,3,1,1,Yes,15,3,Non-Travel,1,1,1,0,1,3,2,3,4,2
No,Female,50,Single,Life Sciences,3,19926,11,3,5,No,15,3,Travel_Rarely,0,5,4,4,4,3,3,2,2,3
No,Male,41,Divorced,Life Sciences,3,2451,14,4,1,No,12,3,Travel_Rarely,1,9,8,1,8,1,3,3,1,3
No,Female,30,Married,Life Sciences,3,9419,5,2,3,No,12,3,Travel_Rarely,1,10,9,7,4,2,3,4,3,3
No,Female,38,Single,Life Sciences,4,8686,1,4,2,No,22,4,Travel_Rarely,0,8,3,0,7,1,2,4,3,4
No,Male,32,Single,Life Sciences,5,3038,6,3,1,No,20,4,Travel_Rarely,0,5,4,1,4,3,3,3,1,3
No,Male,27,Married,Technical Degree,3,3058,17,0,1,Yes,16,3,Travel_Rarely,1,5,2,1,1,3,3,2,4,2
Yes,Female,19,Single,Technical Degree,1,2325,1,0,1,No,21,4,Travel_Frequently,0,0,0,0,0,3,1,1,1,4
No,Male,36,Single,Medical,2,2088,3,4,1,No,12,3,Travel_Frequently,0,8,7,7,2,4,3,2,3,2
No,Male,30,Divorced,Medical,3,3072,9,1,2,No,11,3,Non-Travel,2,12,9,6,10,3,3,1,3,3
No,Female,45,Divorced,Life Sciences,2,5006,4,4,2,Yes,11,3,Travel_Rarely,1,5,4,0,3,3,3,1,1,4
No,Female,56,Divorced,Life Sciences,3,4257,8,4,1,Yes,18,3,Travel_Rarely,1,2,2,2,2,3,3,1,3,3
No,Male,33,Single,Life Sciences,3,2500,2,0,1,No,14,3,Travel_Rarely,0,3,1,0,2,3,3,4,1,4
Yes,Male,19,Single,Life Sciences,3,1102,2,1,1,No,22,4,Travel_Rarely,0,1,0,1,0,2,2,4,3,2
No,Female,46,Divorced,Marketing,2,10453,1,1,3,No,25,4,Travel_Rarely,3,24,13,15,7,2,3,1,3,3
No,Female,38,Single,Life Sciences,2,2288,9,1,1,No,12,3,Travel_Rarely,0,2,2,2,1,3,3,4,3,3
No,Female,31,Married,Medical,1,3929,12,8,1,Yes,23,4,Travel_Rarely,1,4,2,0,2,3,3,4,3,3
No,Female,34,Single,Medical,2,2311,27,2,1,No,15,3,Travel_Rarely,0,3,2,1,2,4,3,2,4,3
Yes,Female,41,Single,Marketing,2,3140,20,1,1,Yes,22,4,Travel_Rarely,0,4,3,0,2,2,3,2,4,2
No,Male,50,Married,Medical,3,3690,1,2,1,No,15,3,Travel_Rarely,1,3,2,0,2,3,2,3,4,2
No,Female,53,Divorced,Medical,2,4450,13,1,2,No,11,3,Travel_Rarely,2,4,2,1,3,4,4,1,3,3
No,Female,33,Married,Medical,3,2756,14,1,1,No,13,3,Travel_Rarely,1,8,7,1,6,4,3,2,4,3
No,Female,40,Married,Medical,1,19033,4,1,5,No,14,3,Travel_Rarely,1,20,8,9,9,4,3,3,2,3
No,Male,55,Single,Medical,4,18722,14,8,5,No,11,3,Travel_Rarely,0,24,15,2,15,3,4,2,4,3
No,Male,34,Married,Life Sciences,1,9547,2,1,2,No,17,3,Travel_Frequently,0,10,9,1,9,4,2,3,3,2
No,Female,51,Single,Medical,3,13734,3,3,4,No,18,3,Travel_Rarely,0,7,7,1,0,4,3,2,3,3
No,Male,52,Married,Life Sciences,4,19999,1,0,5,No,14,3,Travel_Rarely,1,33,18,11,9,3,2,3,1,3
No,Female,27,Single,Medical,3,2279,9,1,1,No,16,3,Travel_Rarely,0,7,7,0,3,4,3,2,4,2
Yes,Male,35,Married,Life Sciences,2,5916,23,3,2,Yes,13,3,Travel_Rarely,0,1,0,0,1,2,2,3,1,3
No,Male,43,Divorced,Medical,3,2089,7,4,1,No,14,3,Non-Travel,3,5,4,2,2,4,4,4,4,4
No,Male,45,Married,Medical,2,16792,2,9,4,No,23,4,Non-Travel,1,20,8,11,8,1,2,4,4,3
No,Male,37,Married,Life Sciences,3,3564,21,1,1,Yes,12,3,Travel_Rarely,1,8,7,1,7,2,4,1,1,2
No,Female,35,Single,Medical,3,4425,2,5,2,No,11,3,Travel_Frequently,0,6,2,1,2,2,3,2,4,3
No,Female,42,Divorced,Medical,2,5265,21,2,2,No,16,3,Non-Travel,1,5,3,0,2,3,3,3,2,3
No,Male,38,Married,Life Sciences,4,6553,2,9,2,No,14,3,Travel_Rarely,0,1,0,0,0,4,3,3,2,3
No,Male,38,Married,Technical Degree,3,6261,29,3,2,No,18,3,Travel_Rarely,1,7,7,1,7,4,3,4,1,1
No,Male,27,Married,Technical Degree,1,4298,1,5,2,No,19,3,Travel_Frequently,1,2,2,2,0,3,2,1,3,3
No,Male,49,Divorced,Life Sciences,4,6804,18,1,2,Yes,15,3,Non-Travel,2,7,7,1,7,4,3,4,1,3
No,Male,34,Divorced,Medical,4,3815,10,1,1,Yes,17,3,Travel_Frequently,1,5,3,2,0,4,3,3,4,4
No,Male,40,Married,Medical,2,2741,19,8,2,Yes,15,3,Travel_Rarely,1,7,2,3,7,3,3,4,3,4
Yes,Male,38,Married,Medical,1,6673,29,7,2,Yes,19,3,Travel_Rarely,0,1,0,0,0,2,3,1,2,3
Yes,Female,29,Married,Marketing,3,7639,27,1,3,No,22,4,Travel_Rarely,3,10,4,1,9,2,3,4,4,2
No,Male,22,Divorced,Life Sciences,3,2328,5,1,1,Yes,16,3,Travel_Rarely,1,4,2,2,2,4,4,2,1,2
No,Female,36,Single,Medical,1,2153,18,1,1,No,13,3,Travel_Frequently,0,8,1,1,7,2,3,4,1,3
No,Male,40,Married,Life Sciences,5,4876,9,9,2,No,14,3,Non-Travel,1,3,2,0,2,4,2,4,4,1
No,Male,46,Divorced,Medical,4,9396,1,7,3,No,16,3,Travel_Rarely,1,4,2,0,3,4,3,1,3,3
Yes,Male,32,Married,Medical,4,10400,4,1,3,No,11,3,Travel_Rarely,0,14,8,9,8,4,1,4,3,2
No,Male,30,Single,Life Sciences,1,8474,1,1,3,No,22,4,Non-Travel,0,11,8,5,8,3,2,3,3,3
No,Female,27,Single,Life Sciences,3,9981,20,1,2,No,14,3,Travel_Frequently,0,7,7,0,7,4,3,3,4,3
No,Male,51,Married,Life Sciences,4,12490,8,5,3,No,16,3,Travel_Rarely,2,10,9,4,7,2,2,2,4,1
Yes,Female,30,Single,Technical Degree,3,2657,3,5,1,Yes,11,3,Travel_Rarely,0,5,2,0,4,4,3,1,3,3
No,Female,41,Single,Life Sciences,3,13591,6,3,3,Yes,18,3,Travel_Rarely,0,1,0,0,0,4,3,4,3,3
